"scenario","n","d","rep","model","test_log_score_joint","test_log_score_marginal","test_log_score_copula","test_log_score_per_obs","predictive_nsim","variogram_score","variogram_p"
"n500_d4",500,4,39,"gamlss.longitudinal",-1555.67438261111,-2352.3837288052,796.709346194087,-0.777837191305556,200,0.720172616240566,0.5
"n500_d4",500,4,39,"gamlss.longitudinal",-1555.67438261111,-2352.3837288052,796.709346194087,-0.777837191305556,200,83.5973630194508,2
"n500_d4",500,4,39,"gamlss2",-2359.30948741799,-2359.30948741799,0,-1.17965474370899,200,1.17645648428452,0.5
"n500_d4",500,4,39,"gamlss2",-2359.30948741799,-2359.30948741799,0,-1.17965474370899,200,257.96792711567,2
"n500_d4",500,4,40,"gamlss.longitudinal",-1664.69636327525,-2537.93181045254,873.235447177285,-0.832348181637627,200,0.696970543153215,0.5
"n500_d4",500,4,40,"gamlss.longitudinal",-1664.69636327525,-2537.93181045254,873.235447177285,-0.832348181637627,200,24.7473655083067,2
"n500_d4",500,4,40,"gamlss2",-2542.70496583219,-2542.70496583219,0,-1.27135248291609,200,1.01006610435705,0.5
"n500_d4",500,4,40,"gamlss2",-2542.70496583219,-2542.70496583219,0,-1.27135248291609,200,71.7118376191314,2
"n500_d4",500,4,41,"gamlss.longitudinal",-1624.58579446454,-2423.34574115781,798.759946693269,-0.812292897232272,200,0.73269725284811,0.5
"n500_d4",500,4,41,"gamlss.longitudinal",-1624.58579446454,-2423.34574115781,798.759946693269,-0.812292897232272,200,36.3382665546748,2
"n500_d4",500,4,41,"gamlss2",-2447.71604310272,-2447.71604310272,0,-1.22385802155136,200,1.14339202928366,0.5
"n500_d4",500,4,41,"gamlss2",-2447.71604310272,-2447.71604310272,0,-1.22385802155136,200,111.50743932385,2
"n500_d4",500,4,42,"gamlss.longitudinal",-1553.20419272608,-2353.33949857557,800.135305849494,-0.77660209636304,200,0.78041222842652,0.5
"n500_d4",500,4,42,"gamlss.longitudinal",-1553.20419272608,-2353.33949857557,800.135305849494,-0.77660209636304,200,61.810275163547,2
"n500_d4",500,4,42,"gamlss2",-2371.0378661628,-2371.0378661628,0,-1.1855189330814,200,1.16020801980032,0.5
"n500_d4",500,4,42,"gamlss2",-2371.0378661628,-2371.0378661628,0,-1.1855189330814,200,86.2977813159215,2
"n500_d4",500,4,43,"gamlss.longitudinal",-1477.82732687414,-2323.65689752952,845.829570655384,-0.73891366343707,200,0.69852102848218,0.5
"n500_d4",500,4,43,"gamlss.longitudinal",-1477.82732687414,-2323.65689752952,845.829570655384,-0.73891366343707,200,48.1742412295771,2
"n500_d4",500,4,43,"gamlss2",-2352.00665512787,-2352.00665512787,0,-1.17600332756393,200,1.20974679950417,0.5
"n500_d4",500,4,43,"gamlss2",-2352.00665512787,-2352.00665512787,0,-1.17600332756393,200,4064232.10535363,2
"n500_d4",500,4,44,"gamlss.longitudinal",-1516.88409106356,-2296.47256043915,779.588469375594,-0.758442045531779,200,0.690875068121641,0.5
"n500_d4",500,4,44,"gamlss.longitudinal",-1516.88409106356,-2296.47256043915,779.588469375594,-0.758442045531779,200,42.9212002903174,2
"n500_d4",500,4,44,"gamlss2",-2316.15135330369,-2316.15135330369,0,-1.15807567665185,200,1.08276527402336,0.5
"n500_d4",500,4,44,"gamlss2",-2316.15135330369,-2316.15135330369,0,-1.15807567665185,200,121.009033577759,2
"n500_d4",500,4,45,"gamlss.longitudinal",-1521.44340831633,-2348.73420907958,827.290800763251,-0.760721704158166,200,0.727559893265769,0.5
"n500_d4",500,4,45,"gamlss.longitudinal",-1521.44340831633,-2348.73420907958,827.290800763251,-0.760721704158166,200,52.9667814886829,2
"n500_d4",500,4,45,"gamlss2",-2356.64119150654,-2356.64119150654,0,-1.17832059575327,200,1.18519514843777,0.5
"n500_d4",500,4,45,"gamlss2",-2356.64119150654,-2356.64119150654,0,-1.17832059575327,200,110.109057159842,2
"n500_d4",500,4,46,"gamlss.longitudinal",-1536.39074950197,-2435.33548210378,898.944732601805,-0.768195374750986,200,0.757509115205662,0.5
"n500_d4",500,4,46,"gamlss.longitudinal",-1536.39074950197,-2435.33548210378,898.944732601805,-0.768195374750986,200,55.0422260869686,2
"n500_d4",500,4,46,"gamlss2",-2466.3358258585,-2466.3358258585,0,-1.23316791292925,200,1.47111415399157,0.5
"n500_d4",500,4,46,"gamlss2",-2466.3358258585,-2466.3358258585,0,-1.23316791292925,200,1142.33025538664,2
"n500_d4",500,4,47,"gamlss.longitudinal",-1562.31455620258,-2314.20734105717,751.892784854593,-0.78115727810129,200,0.733952519170267,0.5
"n500_d4",500,4,47,"gamlss.longitudinal",-1562.31455620258,-2314.20734105717,751.892784854593,-0.78115727810129,200,58.0141188170123,2
"n500_d4",500,4,47,"gamlss2",-2327.29293649107,-2327.29293649107,0,-1.16364646824553,200,1.3386934453422,0.5
"n500_d4",500,4,47,"gamlss2",-2327.29293649107,-2327.29293649107,0,-1.16364646824553,200,147.890499622907,2
"n500_d4",500,4,48,"gamlss.longitudinal",-1493.74793248753,-2336.94197282359,843.194040336059,-0.746873966243766,200,0.676730891028998,0.5
"n500_d4",500,4,48,"gamlss.longitudinal",-1493.74793248753,-2336.94197282359,843.194040336059,-0.746873966243766,200,23.7274674061021,2
"n500_d4",500,4,48,"gamlss2",-2345.92292352737,-2345.92292352737,0,-1.17296146176368,200,1.10156895360794,0.5
"n500_d4",500,4,48,"gamlss2",-2345.92292352737,-2345.92292352737,0,-1.17296146176368,200,62.0178288715442,2
"n500_d4",500,4,49,"gamlss.longitudinal",-1661.68512060987,-2468.86991595565,807.184795345777,-0.830842560304934,200,0.686514773117548,0.5
"n500_d4",500,4,49,"gamlss.longitudinal",-1661.68512060987,-2468.86991595565,807.184795345777,-0.830842560304934,200,24.6453100538897,2
"n500_d4",500,4,49,"gamlss2",-2472.2660082626,-2472.2660082626,0,-1.2361330041313,200,1.12246495423973,0.5
"n500_d4",500,4,49,"gamlss2",-2472.2660082626,-2472.2660082626,0,-1.2361330041313,200,78.7728754699314,2
"n500_d4",500,4,50,"gamlss.longitudinal",-1503.90225025055,-2312.36878597669,808.466535726139,-0.751951125125273,200,0.723535857166894,0.5
"n500_d4",500,4,50,"gamlss.longitudinal",-1503.90225025055,-2312.36878597669,808.466535726139,-0.751951125125273,200,44.7261428101368,2
"n500_d4",500,4,50,"gamlss2",-2306.37715923043,-2306.37715923043,0,-1.15318857961521,200,1.23121825309296,0.5
"n500_d4",500,4,50,"gamlss2",-2306.37715923043,-2306.37715923043,0,-1.15318857961521,200,112.851170750187,2
"n500_d4",500,4,51,"gamlss.longitudinal",-1552.9815926864,-2414.23085061644,861.24925793005,-0.776490796343198,200,0.669460682915902,0.5
"n500_d4",500,4,51,"gamlss.longitudinal",-1552.9815926864,-2414.23085061644,861.24925793005,-0.776490796343198,200,33.3929628131667,2
"n500_d4",500,4,51,"gamlss2",-2437.87889012137,-2437.87889012137,0,-1.21893944506069,200,1.09121194895148,0.5
