"scenario","model","n","d","parameter","rep","bias_abs_integrated","irmse","mean_logLik","mean_df"
"n500_d4","gamlss.longitudinal",500,4,"theta",51,0.0651734472152791,0.0756327088747098,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"mu",52,0.0186454271547128,0.0266375745869208,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"mu",28,0.0359287798135376,0.038974497560398,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"sigma",52,0.0468004108028865,0.054805289509573,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"theta",76,0.0252082610172993,0.0331254055952072,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"theta",52,0.0595398362110615,0.0689646707215154,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"mu",53,0.0360968012739315,0.0453621448200856,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"mu",29,0.0191217874699674,0.0263489430771193,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"sigma",53,0.0619724381420143,0.0729264153086208,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"theta",77,0.0429539028362694,0.048598276610596,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"theta",53,0.0529224073062003,0.0568969199447065,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"mu",54,0.0342308816254074,0.040880000058216,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"mu",30,0.0420203143367071,0.047836087278477,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"sigma",54,0.040041928177046,0.0503004537564769,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"theta",78,0.0230106842599253,0.027619426492191,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"theta",54,0.036343842817854,0.0508172147891571,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"mu",55,0.0165536448862413,0.0212002927442568,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"mu",31,0.0145119944756827,0.0241332880007449,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"sigma",55,0.0640068812047081,0.0717837249481797,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"theta",79,0.0424734513427337,0.0490969493733918,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"theta",55,0.0845172965177243,0.100103234229161,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"mu",56,0.0157956818889881,0.0230091537913231,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"mu",32,0.0184273700674108,0.0302858667332716,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"sigma",56,0.0547034044209412,0.0632697776141806,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"theta",80,0.0326378536315969,0.0439228763065306,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"theta",56,0.0863609074202766,0.095865924667427,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"mu",57,0.0377251477210638,0.0483517517556969,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"mu",33,0.0210962118901231,0.0247135817323584,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"sigma",57,0.0475416092574655,0.0514763266798879,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"theta",81,0.0471720224875269,0.0643035965566036,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"theta",57,0.0209917350538831,0.0271989422117606,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"mu",58,0.0268179321924398,0.0355426966599659,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"mu",34,0.0344904018787888,0.0426609720842934,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"sigma",58,0.0295684590086709,0.0347113906184407,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"theta",82,0.0463132197787653,0.0533223614805346,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"theta",58,0.0255526272698867,0.0308586746490405,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"mu",59,0.0120600625859163,0.0145676877239039,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"mu",35,0.0186974297354849,0.0229552661382643,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"sigma",59,0.0419981521037548,0.0510377358274268,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"theta",83,0.0621541745527975,0.0693690508366962,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"theta",59,0.00754785267934542,0.0125866748615262,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"mu",60,0.0113199229436991,0.0149764328650057,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"mu",36,0.0218208656621241,0.0290921404587021,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"sigma",60,0.0395565882456029,0.0453564106294326,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"theta",84,0.0174918720180163,0.0225357505512078,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"theta",60,0.0177818681010447,0.025669390403964,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"mu",61,0.0235219463985987,0.0284213496149466,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"mu",37,0.0156077079119733,0.0206353885919074,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"sigma",61,0.0386187042805299,0.0447253613034437,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"theta",85,0.0478304107426321,0.0513071150388095,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"theta",61,0.0453267207250921,0.0531758157051724,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"mu",62,0.0252682127397885,0.0322010004237823,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"mu",38,0.0241057764284559,0.027946614846858,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"sigma",62,0.0440486950195604,0.0528276373176096,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"theta",86,0.0195219769286327,0.0282474090211416,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"theta",62,0.0244990499287587,0.0282340094147296,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"mu",63,0.0246505277376586,0.030941870353589,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"mu",39,0.024084555458074,0.0300082745744727,-1510.08638146783,NA
"n500_d4","gamlss.longitudinal",500,4,"sigma",63,0.0416196102690534,0.0467371199268065,-1510.08638146783,NA
