"model","parameter","term","estimate","std_error","true_value","intercept_includes_fitted_smooth_mean","scenario","n","d","rep"
"gamlss2","sigma","t",0.137071002164473,0.0462812695246484,0.15,FALSE,"n500_d4",500,4,3
"gamlss2","nu","intercept",-0.213902733511808,0.115561664336669,0,FALSE,"n500_d4",500,4,3
"gamlss2","nu","x1",0.162078815704202,0.05926984593681,0.1,FALSE,"n500_d4",500,4,3
"gamlss2","nu","x2",0.104912425457949,0.108763523708018,-0.08,FALSE,"n500_d4",500,4,3
"gamlss2","nu","t",0.207394890285257,0.144521319373564,0.12,FALSE,"n500_d4",500,4,3
"gamlss2","tau","intercept",0.503324532970809,0.110823298015894,0.5,FALSE,"n500_d4",500,4,3
"gamlss2","tau","x1",-0.134848334715244,0.0534102334343982,-0.08,FALSE,"n500_d4",500,4,3
"gamlss2","tau","x2",-0.0320288788823284,0.104793480776573,0.1,FALSE,"n500_d4",500,4,3
"gamlss2","tau","t",0.170131724035876,0.140209615118205,0.11,FALSE,"n500_d4",500,4,3
"gamlss2","theta","intercept",NA,NA,NA,FALSE,"n500_d4",500,4,3
"gamlss2","theta","x1",NA,NA,NA,FALSE,"n500_d4",500,4,3
"gamlss2","theta","x2",NA,NA,NA,FALSE,"n500_d4",500,4,3
"gamlss2","theta","t",NA,NA,NA,FALSE,"n500_d4",500,4,3
"gamlss2","zeta","intercept",NA,NA,NA,FALSE,"n500_d4",500,4,3
"gamlss2","zeta","x1",NA,NA,NA,FALSE,"n500_d4",500,4,3
"gamlss2","zeta","x2",NA,NA,NA,FALSE,"n500_d4",500,4,3
"gamlss2","zeta","t",NA,NA,NA,FALSE,"n500_d4",500,4,3
"gamlss.longitudinal","mu","intercept",0.74858746367653,0.0166118282271312,0.781952965353195,TRUE,"n500_d4",500,4,4
"gamlss.longitudinal","mu","x1",0.120483005948607,0.0107721128397289,0.12,FALSE,"n500_d4",500,4,4
"gamlss.longitudinal","mu","x2",-0.0878174197670702,0.0232967893379189,-0.1,FALSE,"n500_d4",500,4,4
"gamlss.longitudinal","mu","t",0.191456503543757,0.0138792072825066,0.18,FALSE,"n500_d4",500,4,4
"gamlss.longitudinal","sigma","intercept",-1.16424634550217,0.0413222296153046,-1.20383139920899,TRUE,"n500_d4",500,4,4
"gamlss.longitudinal","sigma","x1",0.2220811425475,0.0269176637630567,0.18,FALSE,"n500_d4",500,4,4
"gamlss.longitudinal","sigma","x2",0.111416772682659,0.0542241933213447,0.12,FALSE,"n500_d4",500,4,4
"gamlss.longitudinal","sigma","t",0.131578478361867,0.0318221632755823,0.15,FALSE,"n500_d4",500,4,4
"gamlss.longitudinal","nu","intercept",-0.0385094501760353,0.0834051849262334,0,TRUE,"n500_d4",500,4,4
"gamlss.longitudinal","nu","x1",0.0165780410222517,0.0440082973122647,0.1,FALSE,"n500_d4",500,4,4
"gamlss.longitudinal","nu","x2",-0.120627589990029,0.0933170367375483,-0.08,FALSE,"n500_d4",500,4,4
"gamlss.longitudinal","nu","t",0.194843748513739,0.0847851772161789,0.12,FALSE,"n500_d4",500,4,4
"gamlss.longitudinal","tau","intercept",0.531715418830011,0.0886192375989907,0.5,TRUE,"n500_d4",500,4,4
"gamlss.longitudinal","tau","x1",0.0397852328571848,0.0501878518056595,-0.08,FALSE,"n500_d4",500,4,4
"gamlss.longitudinal","tau","x2",-0.0170710358907784,0.10754396992746,0.1,FALSE,"n500_d4",500,4,4
"gamlss.longitudinal","tau","t",0.134985883208435,0.110359659771468,0.11,FALSE,"n500_d4",500,4,4
