"generating_copula","tau_label","target_tau","n_subject","rep","n_candidates_expected","n_candidate_rows","n_candidates_attempted","n_candidates_usable","n_candidates_failed","all_candidates_present_once","selection_eligible","missing_candidates","duplicate_candidates","failed_candidates","failure_reasons","best_aic_copula","best_bic_copula","best_loglik_copula","aic_gap_to_runner_up","close_aic"
"C","high",0.55,150,87,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",117.36797320821,FALSE
"C","high",0.55,150,88,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",118.57352347082,FALSE
"C","high",0.55,150,89,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",138.99125840334,FALSE
"C","high",0.55,150,90,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",106.40954238795,FALSE
"C","high",0.55,150,91,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",139.66977507851,FALSE
"C","high",0.55,150,92,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",111.14266369152,FALSE
"C","high",0.55,150,93,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",111.77081152522,FALSE
"C","high",0.55,150,94,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",81.0286260396201,FALSE
"C","high",0.55,150,95,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",86.45323033455,FALSE
"C","high",0.55,150,96,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",153.54955158403,FALSE
"C","high",0.55,150,97,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",136.81265046446,FALSE
"C","high",0.55,150,98,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",181.69256753667,FALSE
"C","high",0.55,150,99,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",126.81994099146,FALSE
"C","high",0.55,150,100,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",80.2604337877999,FALSE
"C","high",0.55,500,1,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",409.8734735263,FALSE
"C","high",0.55,500,2,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",482.35236789164,FALSE
"C","high",0.55,500,3,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",473.60950309585,FALSE
"C","high",0.55,500,4,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",484.50340694292,FALSE
"C","high",0.55,500,5,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",343.39953804317,FALSE
"C","high",0.55,500,6,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",437.4666817687,FALSE
"C","high",0.55,500,7,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",469.61909432598,FALSE
"C","high",0.55,500,8,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",469.51487562204,FALSE
"C","high",0.55,500,9,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",459.11835664628,FALSE
"C","high",0.55,500,10,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",479.90099184506,FALSE
"C","high",0.55,500,11,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",418.50215307187,FALSE
"C","high",0.55,500,12,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",428.88237678655,FALSE
"C","high",0.55,500,13,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",473.82268783102,FALSE
"C","high",0.55,500,14,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",393.135968905639,FALSE
"C","high",0.55,500,15,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",349.73308507003,FALSE
"C","high",0.55,500,16,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",442.53363971358,FALSE
"C","high",0.55,500,17,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",477.0836051627,FALSE
"C","high",0.55,500,18,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",369.98740633056,FALSE
"C","high",0.55,500,19,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",423.92563286578,FALSE
"C","high",0.55,500,20,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",546.13291827339,FALSE
"C","high",0.55,500,21,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",452.64584239522,FALSE
"C","high",0.55,500,22,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",496.92963053854,FALSE
"C","high",0.55,500,23,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",581.31152773928,FALSE
"C","high",0.55,500,24,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",424.73390799431,FALSE
"C","high",0.55,500,25,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",443.41386258527,FALSE
"C","high",0.55,500,26,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",371.94912811467,FALSE
"C","high",0.55,500,27,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",420.44928057472,FALSE
"C","high",0.55,500,28,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",427.64813795854,FALSE
"C","high",0.55,500,29,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",432.3966486359,FALSE
"C","high",0.55,500,30,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",438.75094458599,FALSE
"C","high",0.55,500,31,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",347.95754448004,FALSE
"C","high",0.55,500,32,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",435.23295862558,FALSE
"C","high",0.55,500,33,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",356.74905722482,FALSE
"C","high",0.55,500,34,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",471.76016642522,FALSE
"C","high",0.55,500,35,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",468.32802381297,FALSE
"C","high",0.55,500,36,2,2,2,2,0,TRUE,TRUE,"","","","","C","C","C",498.4998923025,FALSE
