"study_id","scenario_id","method","attempted","successful","converged","convergence_not_reported","retained","parameter","term","n_metric","n_se","estimand_status","true_value_mean","mean_estimate","bias","bias_mcse","bias_ci_low","bias_ci_high","rmse","rmse_mcse","rmse_ci_low","rmse_ci_high","empirical_sd","empirical_sd_mcse","empirical_sd_ci_low","empirical_sd_ci_high","mean_se","mean_se_mcse","mean_se_ci_low","mean_se_ci_high","se_to_empirical_sd","coverage","coverage_mcse","coverage_ci_low","coverage_ci_high"
"bcpe_t_legacy_reconciliation","n500_d4","gamlss2",100,100,0,100,100,"theta","x1",0,0,"not_applicable_or_unavailable",,,,,,,,,,,,,,,,,,,,,,,
"bcpe_t_legacy_reconciliation","n500_d4","gamlss2",100,100,0,100,100,"theta","x2",0,0,"not_applicable_or_unavailable",,,,,,,,,,,,,,,,,,,,,,,
"bcpe_t_legacy_reconciliation","n500_d4","gamlss2",100,100,0,100,100,"zeta","intercept",0,0,"not_applicable_or_unavailable",,,,,,,,,,,,,,,,,,,,,,,
"bcpe_t_legacy_reconciliation","n500_d4","gamlss2",100,100,0,100,100,"zeta","t",0,0,"not_applicable_or_unavailable",,,,,,,,,,,,,,,,,,,,,,,
"bcpe_t_legacy_reconciliation","n500_d4","gamlss2",100,100,0,100,100,"zeta","x1",0,0,"not_applicable_or_unavailable",,,,,,,,,,,,,,,,,,,,,,,
"bcpe_t_legacy_reconciliation","n500_d4","gamlss2",100,100,0,100,100,"zeta","x2",0,0,"not_applicable_or_unavailable",,,,,,,,,,,,,,,,,,,,,,,
"nbi_gaussian_legacy_reconciliation","n500_d4_nbi_signal2","gamlss",100,100,100,0,100,"mu","intercept",100,100,"estimated",1.1,1.63201690061416,0.532016900614157,0.00794418339680676,0.516253917251702,0.547779883976612,0.537856744378521,0.00773654477093558,0.522280209937342,0.552994699119919,0.0794418339680676,0.00564568530353183,0.0697504740354011,0.0922856127559279,0.0580058028852838,0.000196939206205097,0.0576150327738996,0.0583965729966679,0.730166966042095,0,0,0,0.0369934982069857
"nbi_gaussian_legacy_reconciliation","n500_d4_nbi_signal2","gamlss",100,100,100,0,100,"mu","time_scaled",100,100,"estimated",0.1,0.0929459211382326,-0.00705407886176737,0.00511987319632552,-0.0172130180478894,0.00310486032435467,0.0514281740069277,0.00330185898813021,0.0443957538664344,0.0576084299560806,0.0511987319632553,0.0036385354436883,0.0449528371397361,0.0594763000241754,0.059444502818546,0.00018098504651018,0.0590853892212769,0.0598036164158152,1.16105420074092,0.98,0.014,0.929988209271456,0.994498032449838
"nbi_gaussian_legacy_reconciliation","n500_d4_nbi_signal2","gamlss",100,100,100,0,100,"mu","x1",100,100,"estimated",0.18,0.179992470670999,-7.52932900111858e-06,0.00351329704050172,-0.00697867287272303,0.00696361421472079,0.0349568649920987,0.00239308589870623,0.029832933853049,0.0394203104740593,0.0351329704050172,0.00249679148601671,0.0308469885149767,0.0408131023645068,0.0224462965452844,9.98669900426202e-05,0.0222481387707379,0.0226444543198309,0.638895495784179,0.8,0.04,0.711170834406841,0.866633066668967
"nbi_gaussian_legacy_reconciliation","n500_d4_nbi_signal2","gamlss",100,100,100,0,100,"mu","x2",100,100,"estimated",-0.12,-0.10879864955839,0.0112013504416096,0.0061215444082833,-0.000945121743195132,0.0233478226264144,0.0619300213146388,0.00456606771689906,0.0520878777805671,0.0704095736983256,0.061215444082833,0.00435039217682894,0.0537475789491652,0.0711124666328986,0.0445194321087739,0.000140014840131983,0.0442416122895104,0.0447972519280375,0.727258174400123,0.84,0.0366606055596467,0.755797306107298,0.899047115111952
"nbi_gaussian_legacy_reconciliation","n500_d4_nbi_signal2","gamlss",100,100,100,0,100,"sigma","intercept",100,100,"estimated",-0.45,-0.466708457220084,-0.0167084572200839,0.0159152809607181,-0.0482878274916014,0.0148709130514336,0.159234082973704,0.0127753923442592,0.13146328709904,0.182834325294974,0.159152809607181,0.0113104976727531,0.139737256300364,0.184883880731279,0.118358907298715,0.000458584284655995,0.117448976587369,0.119268838010061,0.743680916415153,0.88,0.0324961536185438,0.801879005732886,0.930005935629805
"nbi_gaussian_legacy_reconciliation","n500_d4_nbi_signal2","gamlss",100,100,100,0,100,"sigma","time_scaled",100,100,"estimated",0.08,0.0952304185225914,0.0152304185225914,0.0152619512525794,-0.0150526038670622,0.045513440912245,0.152616362477777,0.00757262633247755,0.1367677173313,0.16696736114547,0.152619512525794,0.0108461964667811,0.134000976739849,0.177294311176342,0.141218481919358,0.000454162069027033,0.140317325843227,0.142119637995489,0.925297686922507,0.98,0.014,0.929988209271456,0.994498032449838
"nbi_gaussian_legacy_reconciliation","n500_d4_nbi_signal2","gamlss",100,100,100,0,100,"sigma","x1",100,100,"estimated",0.1,0.103788536396062,0.00378853639606195,0.00744292001889114,-0.0109798316747237,0.0185569044668476,0.0741529621146568,0.00596376696564893,0.0611857610317945,0.085168223110005,0.0744292001889114,0.00528945293268368,0.0653493472637993,0.0864625601308281,0.0537489956327197,0.00029413486492335,0.0531653682476862,0.0543326230177532,0.722149310973348,0.88,0.0324961536185438,0.801879005732886,0.930005935629805
"nbi_gaussian_legacy_reconciliation","n500_d4_nbi_signal2","ours_rs_joint",100,100,100,0,100,"mu","intercept",100,100,"estimated",1.1,1.09274026952601,-0.00725973047399367,0.00537275736338697,-0.0179204467111868,0.0034009857631995,0.0539489511802787,0.0043507986029307,0.0444861155220685,0.0619835800245626,0.0537275736338697,0.00381825239559661,0.0471731774374781,0.0624139928174861,0.0535445394968192,0.00020236164021106,0.0531430100999616,0.0539460688936768,0.996593292332578,0.93,0.0255147016443461,0.862504852609265,0.965680738932727
