"schema_version","evidence_status","study_id","scenario_id","margin_family","copula_family","copula_code","runner_contract_version","phase1_contract_version","runner_settings_signature","n_subjects","n_time","target_replicates","replicate","data_seed","training_covariate_seed","training_response_seed","test_response_seed","diagnostic_seed","predictive_seed","seed_source","method","attempted","success","converged","elapsed_sec","stop_reason","error","retry_index","convergence_status","failure_reason","retained","retention_reason","attempt_id","has_fixed_output","has_smooth_output","has_predictive_output","has_diagnostic_output"
"2026-09-01.3","legacy_pre_phase1_reconciliation","bcpe_t_legacy_reconciliation","n500_d4","BCPE","t","t","legacy_unversioned","legacy_pre_phase1","legacy_unrecorded",500,4,100,83,110083,,110083,610083,,,"reconstructed_runner_rule_110000_plus_rep","gamlss.longitudinal",TRUE,TRUE,TRUE,96.2830278873444,"tolerance",,1,"converged","none",TRUE,"successful_fit_with_complete_outputs","bcpe_t_legacy_reconciliation::n500_d4::gamlss.longitudinal::rep083::try01",TRUE,TRUE,TRUE,TRUE
"2026-09-01.3","legacy_pre_phase1_reconciliation","bcpe_t_legacy_reconciliation","n500_d4","BCPE","t","t","legacy_unversioned","legacy_pre_phase1","legacy_unrecorded",500,4,100,84,110084,,110084,610084,,,"reconstructed_runner_rule_110000_plus_rep","gamlss.longitudinal",TRUE,TRUE,TRUE,79.5758450031281,"tolerance",,1,"converged","none",TRUE,"successful_fit_with_complete_outputs","bcpe_t_legacy_reconciliation::n500_d4::gamlss.longitudinal::rep084::try01",TRUE,TRUE,TRUE,TRUE
"2026-09-01.3","legacy_pre_phase1_reconciliation","bcpe_t_legacy_reconciliation","n500_d4","BCPE","t","t","legacy_unversioned","legacy_pre_phase1","legacy_unrecorded",500,4,100,85,110085,,110085,610085,,,"reconstructed_runner_rule_110000_plus_rep","gamlss.longitudinal",TRUE,TRUE,TRUE,79.6549940109253,"tolerance",,1,"converged","none",TRUE,"successful_fit_with_complete_outputs","bcpe_t_legacy_reconciliation::n500_d4::gamlss.longitudinal::rep085::try01",TRUE,TRUE,TRUE,TRUE
"2026-09-01.3","legacy_pre_phase1_reconciliation","bcpe_t_legacy_reconciliation","n500_d4","BCPE","t","t","legacy_unversioned","legacy_pre_phase1","legacy_unrecorded",500,4,100,86,110086,,110086,610086,,,"reconstructed_runner_rule_110000_plus_rep","gamlss.longitudinal",TRUE,TRUE,TRUE,107.139447927475,"tolerance",,1,"converged","none",TRUE,"successful_fit_with_complete_outputs","bcpe_t_legacy_reconciliation::n500_d4::gamlss.longitudinal::rep086::try01",TRUE,TRUE,TRUE,TRUE
"2026-09-01.3","legacy_pre_phase1_reconciliation","bcpe_t_legacy_reconciliation","n500_d4","BCPE","t","t","legacy_unversioned","legacy_pre_phase1","legacy_unrecorded",500,4,100,87,110087,,110087,610087,,,"reconstructed_runner_rule_110000_plus_rep","gamlss.longitudinal",TRUE,TRUE,TRUE,106.812027931213,"tolerance",,1,"converged","none",TRUE,"successful_fit_with_complete_outputs","bcpe_t_legacy_reconciliation::n500_d4::gamlss.longitudinal::rep087::try01",TRUE,TRUE,TRUE,TRUE
"2026-09-01.3","legacy_pre_phase1_reconciliation","bcpe_t_legacy_reconciliation","n500_d4","BCPE","t","t","legacy_unversioned","legacy_pre_phase1","legacy_unrecorded",500,4,100,88,110088,,110088,610088,,,"reconstructed_runner_rule_110000_plus_rep","gamlss.longitudinal",TRUE,TRUE,TRUE,80.0477800369263,"tolerance",,1,"converged","none",TRUE,"successful_fit_with_complete_outputs","bcpe_t_legacy_reconciliation::n500_d4::gamlss.longitudinal::rep088::try01",TRUE,TRUE,TRUE,TRUE
"2026-09-01.3","legacy_pre_phase1_reconciliation","bcpe_t_legacy_reconciliation","n500_d4","BCPE","t","t","legacy_unversioned","legacy_pre_phase1","legacy_unrecorded",500,4,100,89,110089,,110089,610089,,,"reconstructed_runner_rule_110000_plus_rep","gamlss.longitudinal",TRUE,TRUE,TRUE,100.724180936813,"tolerance",,1,"converged","none",TRUE,"successful_fit_with_complete_outputs","bcpe_t_legacy_reconciliation::n500_d4::gamlss.longitudinal::rep089::try01",TRUE,TRUE,TRUE,TRUE
"2026-09-01.3","legacy_pre_phase1_reconciliation","bcpe_t_legacy_reconciliation","n500_d4","BCPE","t","t","legacy_unversioned","legacy_pre_phase1","legacy_unrecorded",500,4,100,90,110090,,110090,610090,,,"reconstructed_runner_rule_110000_plus_rep","gamlss.longitudinal",TRUE,TRUE,TRUE,109.560267925262,"tolerance",,1,"converged","none",TRUE,"successful_fit_with_complete_outputs","bcpe_t_legacy_reconciliation::n500_d4::gamlss.longitudinal::rep090::try01",TRUE,TRUE,TRUE,TRUE
"2026-09-01.3","legacy_pre_phase1_reconciliation","bcpe_t_legacy_reconciliation","n500_d4","BCPE","t","t","legacy_unversioned","legacy_pre_phase1","legacy_unrecorded",500,4,100,91,110091,,110091,610091,,,"reconstructed_runner_rule_110000_plus_rep","gamlss.longitudinal",TRUE,TRUE,TRUE,120.628130912781,"tolerance",,1,"converged","none",TRUE,"successful_fit_with_complete_outputs","bcpe_t_legacy_reconciliation::n500_d4::gamlss.longitudinal::rep091::try01",TRUE,TRUE,TRUE,TRUE
"2026-09-01.3","legacy_pre_phase1_reconciliation","bcpe_t_legacy_reconciliation","n500_d4","BCPE","t","t","legacy_unversioned","legacy_pre_phase1","legacy_unrecorded",500,4,100,92,110092,,110092,610092,,,"reconstructed_runner_rule_110000_plus_rep","gamlss.longitudinal",TRUE,TRUE,TRUE,101.612713098526,"tolerance",,1,"converged","none",TRUE,"successful_fit_with_complete_outputs","bcpe_t_legacy_reconciliation::n500_d4::gamlss.longitudinal::rep092::try01",TRUE,TRUE,TRUE,TRUE
"2026-09-01.3","legacy_pre_phase1_reconciliation","bcpe_t_legacy_reconciliation","n500_d4","BCPE","t","t","legacy_unversioned","legacy_pre_phase1","legacy_unrecorded",500,4,100,93,110093,,110093,610093,,,"reconstructed_runner_rule_110000_plus_rep","gamlss.longitudinal",TRUE,TRUE,TRUE,119.314831972122,"tolerance",,1,"converged","none",TRUE,"successful_fit_with_complete_outputs","bcpe_t_legacy_reconciliation::n500_d4::gamlss.longitudinal::rep093::try01",TRUE,TRUE,TRUE,TRUE
