"scenario","model","n","d","parameter","rep","bias_abs_integrated","irmse"
"n500_d4_nbi_signal2","gamlss",500,4,"sigma",33,0.142458299390402,0.168357760508594
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"sigma",33,0.0969971574772683,0.120756749921754
"n500_d4_nbi_signal2","gamlss",500,4,"sigma",34,0.113419366371651,0.141786832570309
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"sigma",34,0.079855390805802,0.108439067720946
"n500_d4_nbi_signal2","gamlss",500,4,"sigma",35,0.14758656587329,0.168431746710861
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"sigma",35,0.0806855819398805,0.0946150816597331
"n500_d4_nbi_signal2","gamlss",500,4,"sigma",36,0.102296671766149,0.136618806688586
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"sigma",36,0.0541580478910552,0.0688075795954362
"n500_d4_nbi_signal2","gamlss",500,4,"sigma",37,0.144544720789527,0.196114408464509
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"sigma",37,0.116868371636516,0.151512844606239
"n500_d4_nbi_signal2","gamlss",500,4,"sigma",38,0.107935923253939,0.140779081357769
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"sigma",38,0.080391172693029,0.11247913658717
"n500_d4_nbi_signal2","gamlss",500,4,"sigma",39,0.129772771343197,0.157035138223271
"n500_d4_nbi_signal2","ours_rs_joint",500,4,"sigma",39,0.0828737912929548,0.0980164642428419
"n500_d4_nbi_signal2","gamlss",500,4,"sigma",40,0.109500503292863,0.140148587049098
