"rep","engine","success","logLik","df","converged","iter","mu_irmse","sigma_irmse","theta_irmse","elapsed_sec","error"
26,"gamlss",TRUE,-4359.75026786561,21.0000000285376,TRUE,4,0.0579363094111188,0.0556087005167156,NA,0.839685201644897,NA
26,"ours_rs_joint",TRUE,-3957.80751401353,NA,TRUE,9,0.055945796384591,0.0621488930420039,0.0459725697816887,476.013381958008,NA
27,"gamlss",TRUE,-4490.99171777647,21.000000143443,TRUE,4,0.0826228361855551,0.18713000542842,NA,0.879051923751831,NA
27,"ours_rs_joint",TRUE,-4121.93609821124,NA,TRUE,9,0.0848904586833337,0.128051595273403,0.0637735254917648,476.975477218628,NA
28,"gamlss",TRUE,-4537.47060668972,21.0000000277029,TRUE,4,0.0757626167444877,0.234935760286686,NA,0.906208992004395,NA
28,"ours_rs_joint",TRUE,-4067.7181762504,NA,TRUE,9,0.0672972097353962,0.197796507059199,0.0671180253991908,478.088790178299,NA
29,"gamlss",TRUE,-4427.86549331236,21.0000000780881,TRUE,6,0.0862585437185234,0.235878295474873,NA,4.45581603050232,NA
29,"ours_rs_joint",TRUE,-4041.51491519978,NA,TRUE,6,0.0650534517386693,0.211903885200126,0.112363534998997,476.451865911484,NA
30,"gamlss",TRUE,-4460.61998823628,21.0000203360681,TRUE,4,0.0624556755145475,0.138164597624155,NA,0.790034055709839,NA
30,"ours_rs_joint",TRUE,-4037.93250838988,NA,TRUE,10,0.0600581375610489,0.0524481548533133,0.0659479054168512,433.262418985367,NA
31,"gamlss",TRUE,-4521.76130945986,21.0000279951411,TRUE,4,0.074596005506274,0.11793685126238,NA,0.700865983963013,NA
31,"ours_rs_joint",TRUE,-4113.14675522791,NA,TRUE,9,0.0649539824969663,0.0653466399371159,0.0348870140249094,424.709689855576,NA
32,"gamlss",TRUE,-4479.61588875733,21.0000083432789,TRUE,5,0.0727504237121732,0.161008722260023,NA,0.856850862503052,NA
32,"ours_rs_joint",TRUE,-4087.86273258714,NA,TRUE,5,0.0645935657589106,0.117836698247579,0.0648740818039049,387.579952955246,NA
33,"gamlss",TRUE,-4499.95852054843,20.9999576829696,TRUE,4,0.070045858346413,0.168357760508594,NA,0.958539009094238,NA
33,"ours_rs_joint",TRUE,-4076.59524231538,NA,TRUE,8,0.0734749793676258,0.120756749921754,0.0486663731870876,419.084378004074,NA
34,"gamlss",TRUE,-4509.501226826,21.0000000461305,TRUE,5,0.0600384760445521,0.141786832570309,NA,2.07876706123352,NA
34,"ours_rs_joint",TRUE,-4077.06021199438,NA,TRUE,6,0.0434436444227095,0.108439067720946,0.100275696556515,387.962082862854,NA
35,"gamlss",TRUE,-4670.66007473845,21.0000421273415,TRUE,5,0.0534818560593065,0.168431746710861,NA,0.76623010635376,NA
35,"ours_rs_joint",TRUE,-4296.27382525175,NA,TRUE,6,0.0479223308592687,0.0946150816597331,0.0658906923147927,395.069394111633,NA
36,"gamlss",TRUE,-4475.31461000767,21.0000000964243,TRUE,5,0.143270353641248,0.136618806688586,NA,0.83903694152832,NA
36,"ours_rs_joint",TRUE,-4040.57819784519,NA,TRUE,7,0.124660351126498,0.0688075795954362,0.0827950004901236,504.758133888245,NA
37,"gamlss",TRUE,-4441.48653294799,20.9999998255478,TRUE,4,0.0781621850258628,0.196114408464509,NA,0.83575701713562,NA
37,"ours_rs_joint",TRUE,-4041.51665913474,NA,TRUE,8,0.0571716251378502,0.151512844606239,0.0498007295127376,406.270653963089,NA
38,"gamlss",TRUE,-4521.06891075333,21.0000017349037,TRUE,4,0.0848572934736571,0.140779081357769,NA,3.44404101371765,NA
38,"ours_rs_joint",TRUE,-4125.66169944864,NA,TRUE,7,0.0734546116037226,0.11247913658717,0.0651408280816137,560.523150920868,NA
39,"gamlss",TRUE,-4514.80438509699,21.000000021026,TRUE,5,0.114486017427404,0.157035138223271,NA,0.767249822616577,NA
39,"ours_rs_joint",TRUE,-4112.5370062827,NA,TRUE,5,0.0848886413442269,0.0980164642428419,0.0624018299809994,367.217391967773,NA
40,"gamlss",TRUE,-4431.50583394456,21.0000000565449,TRUE,5,0.0902478738975436,0.140148587049098,NA,0.686195135116577,NA
40,"ours_rs_joint",TRUE,-4029.53330383107,NA,TRUE,5,0.0852587982844229,0.0917896360600992,0.0607840461873022,362.672826051712,NA
41,"gamlss",TRUE,-4458.78829354759,21.0000279575909,TRUE,5,0.0748793542837463,0.15824995750765,NA,0.919561862945557,NA
41,"ours_rs_joint",TRUE,-4042.60530201523,NA,TRUE,11,0.0746810052253331,0.114093987332936,0.0802881716728057,591.780042171478,NA
42,"gamlss",TRUE,-4416.81457619434,21.0000000732586,TRUE,5,0.0652007041571257,0.198519566899781,NA,2.0433988571167,NA
42,"ours_rs_joint",TRUE,-4042.4085177795,NA,TRUE,7,0.0598592833065134,0.0758875467455673,0.0308739987497015,386.714657068253,NA
43,"gamlss",TRUE,-4384.67117151042,21.0000128098458,TRUE,5,0.0233703626844246,0.272666380783976,NA,0.901999950408936,NA
43,"ours_rs_joint",TRUE,-4051.01031542145,NA,TRUE,5,0.0175892449402654,0.250056639223498,0.053978819283189,371.207273960114,NA
44,"gamlss",TRUE,-4454.27304705754,21.0000000681185,TRUE,4,0.0856206031707357,0.0879082593650856,NA,0.663661003112793,NA
44,"ours_rs_joint",TRUE,-4012.69715466899,NA,TRUE,9,0.086770698182559,0.0546561104329999,0.0578678778217614,447.738826990128,NA
45,"gamlss",TRUE,-4461.31996919309,21.0000000968434,TRUE,4,0.0611319284118671,0.140592763059276,NA,0.729364156723022,NA
45,"ours_rs_joint",TRUE,-4017.48335034125,NA,TRUE,7,0.0582900368127303,0.121188601150665,0.050531125439986,435.794734954834,NA
