"scenario","n","d","rep","model","test_log_score_joint","test_log_score_marginal","test_log_score_copula","test_log_score_per_obs","predictive_nsim","variogram_score","variogram_p"
"n500_d4_nbi_signal2",500,4,19,"gamlss",-4573.17196661631,-4573.17196661631,0,-2.28658598330815,100,4.80324018130427,0.5
"n500_d4_nbi_signal2",500,4,19,"gamlss",-4573.17196661631,-4573.17196661631,0,-2.28658598330815,100,21946.3486524,2
"n500_d4_nbi_signal2",500,4,19,"ours_rs_joint",-5148.04289205773,-5158.35159217984,10.3087001221114,-2.57402144602886,100,4.35403761814834,0.5
"n500_d4_nbi_signal2",500,4,19,"ours_rs_joint",-5148.04289205773,-5158.35159217984,10.3087001221114,-2.57402144602886,100,21940.3713978,2
"n500_d4_nbi_signal2",500,4,20,"gamlss",-4438.89521745738,-4438.89521745738,0,-2.21944760872869,100,4.68916984617579,0.5
"n500_d4_nbi_signal2",500,4,20,"gamlss",-4438.89521745738,-4438.89521745738,0,-2.21944760872869,100,5322.5015442,2
"n500_d4_nbi_signal2",500,4,20,"ours_rs_joint",-4227.51600771246,-4831.79461514039,604.278607427928,-2.11375800385623,100,3.78257638412864,0.5
"n500_d4_nbi_signal2",500,4,20,"ours_rs_joint",-4227.51600771246,-4831.79461514039,604.278607427928,-2.11375800385623,100,3206.0129688,2
"n500_d4_nbi_signal2",500,4,21,"gamlss",-4469.62447107198,-4469.62447107198,0,-2.23481223553599,100,4.59158707589619,0.5
"n500_d4_nbi_signal2",500,4,21,"gamlss",-4469.62447107198,-4469.62447107198,0,-2.23481223553599,100,7283.9828672,2
"n500_d4_nbi_signal2",500,4,21,"ours_rs_joint",-4314.83098761938,-4955.31174372104,640.480756101663,-2.15741549380969,100,3.90403288422945,0.5
"n500_d4_nbi_signal2",500,4,21,"ours_rs_joint",-4314.83098761938,-4955.31174372104,640.480756101663,-2.15741549380969,100,5814.7564974,2
"n500_d4_nbi_signal2",500,4,22,"gamlss",-4525.22969489997,-4525.22969489997,0,-2.26261484744999,100,5.00248178327572,0.5
"n500_d4_nbi_signal2",500,4,22,"gamlss",-4525.22969489997,-4525.22969489997,0,-2.26261484744999,100,9066.2133978,2
"n500_d4_nbi_signal2",500,4,22,"ours_rs_joint",-4265.49665471437,-4884.78431039672,619.287655682348,-2.13274832735719,100,4.13878063619621,0.5
"n500_d4_nbi_signal2",500,4,22,"ours_rs_joint",-4265.49665471437,-4884.78431039672,619.287655682348,-2.13274832735719,100,7026.4753086,2
"n500_d4_nbi_signal2",500,4,23,"gamlss",-4554.19001899594,-4554.19001899594,0,-2.27709500949797,100,4.87661794626832,0.5
"n500_d4_nbi_signal2",500,4,23,"gamlss",-4554.19001899594,-4554.19001899594,0,-2.27709500949797,100,8343.6154094,2
"n500_d4_nbi_signal2",500,4,23,"ours_rs_joint",-4361.14042357268,-4946.15013696067,585.009713387989,-2.18057021178634,100,4.04857589529427,0.5
"n500_d4_nbi_signal2",500,4,23,"ours_rs_joint",-4361.14042357268,-4946.15013696067,585.009713387989,-2.18057021178634,100,4297.503731,2
"n500_d4_nbi_signal2",500,4,24,"gamlss",-4522.87026106858,-4522.87026106858,0,-2.26143513053429,100,5.17239403418863,0.5
