"scenario","n","d","rep","model","parameter","s1","smooth_hat","smooth_true"
"n500_d4_nbi_signal2",500,4,1,"gamlss","mu",0.811818181818182,-0.490858930236649,-0.509030753945069
"n500_d4_nbi_signal2",500,4,1,"gamlss","mu",0.821717171717172,-0.480668421679031,-0.495099337183499
"n500_d4_nbi_signal2",500,4,1,"gamlss","mu",0.831616161616162,-0.466843086388546,-0.479253250856694
"n500_d4_nbi_signal2",500,4,1,"gamlss","mu",0.841515151515151,-0.449492508850726,-0.461553775634894
"n500_d4_nbi_signal2",500,4,1,"gamlss","mu",0.851414141414141,-0.42872628898567,-0.442069359694014
"n500_d4_nbi_signal2",500,4,1,"gamlss","mu",0.861313131313131,-0.404689005874384,-0.420875354009904
"n500_d4_nbi_signal2",500,4,1,"gamlss","mu",0.871212121212121,-0.377790442969441,-0.398053720957789
"n500_d4_nbi_signal2",500,4,1,"gamlss","mu",0.881111111111111,-0.348561539275175,-0.373692717343834
"n500_d4_nbi_signal2",500,4,1,"gamlss","mu",0.891010101010101,-0.317533881813647,-0.347886553094605
"n500_d4_nbi_signal2",500,4,1,"gamlss","mu",0.900909090909091,-0.285239057302652,-0.320735026924363
"n500_d4_nbi_signal2",500,4,1,"gamlss","mu",0.910808080808081,-0.252182293970997,-0.292343140389168
"n500_d4_nbi_signal2",500,4,1,"gamlss","mu",0.920707070707071,-0.218599653492702,-0.262820691820315
"n500_d4_nbi_signal2",500,4,1,"gamlss","mu",0.930606060606061,-0.184569705542629,-0.232281851707484
"n500_d4_nbi_signal2",500,4,1,"gamlss","mu",0.940505050505051,-0.150169035474941,-0.200844721173682
"n500_d4_nbi_signal2",500,4,1,"gamlss","mu",0.95040404040404,-0.115474226131551,-0.168630875249477
"n500_d4_nbi_signal2",500,4,1,"gamlss","mu",0.96030303030303,-0.080559777770396,-0.135764892712776
"n500_d4_nbi_signal2",500,4,1,"gamlss","mu",0.97020202020202,-0.0454704581163202,-0.102373874312397
"n500_d4_nbi_signal2",500,4,1,"gamlss","mu",0.98010101010101,-0.010228957820456,-0.0685869512385509
