"scenario","model","n","d","parameter","s1","smooth_true","smooth_median","smooth_q05","smooth_q95","bias","rmse","missing_mechanism","target_missing_rate","observed_missing_rate","complete_adjacent_pair_rate","missing_label"
"n500_d4_mar_miss00","gamlss2",500,4,"sigma",0.33,-0.141886399260218,-0.13099257366586,-0.203206659880991,0.000838574279356323,0.0164072516413667,0.0641457402733164,"mar",0,0,1,"0%"
"n500_d4_mar_miss00","gamlss2",500,4,"sigma",0.31,-0.108517662835106,-0.108419771670351,-0.187948998512335,0.000977457523622898,0.00712193289215577,0.0578564192492059,"mar",0,0,1,"0%"
"n500_d4_mar_miss00","gamlss2",500,4,"sigma",0.29,-0.0734872631791594,-0.0707049670471039,-0.166166330402314,0.00809430923566132,-0.000519809568968649,0.0548593021298815,"mar",0,0,1,"0%"
"n500_d4_mar_miss00","gamlss.longitudinal",500,4,"mu",0.64,-0.423782283526684,-0.418964093257773,-0.472369780386456,-0.368525513422141,0.00188673145887107,0.0323561447913335,"mar",0,0,1,"0%"
"n500_d4_mar_miss00","gamlss.longitudinal",500,4,"mu",0.62,-0.376500908260779,-0.377524156610106,-0.408554584156506,-0.321072278290944,0.00189525662632744,0.0305128577865931,"mar",0,0,1,"0%"
"n500_d4_mar_miss00","gamlss.longitudinal",500,4,"theta",0.43,0.184857776130657,0.187203012699513,0.150626531660852,0.231442639098274,0.00518533807829906,0.0320022549500208,"mar",0,0,1,"0%"
"n500_d4_mar_miss00","gamlss2",500,4,"mu",0.76,-0.548914700635549,-0.559579477855112,-0.613452305690125,-0.487306904427783,-0.00443729772050165,0.0355388979233034,"mar",0,0,1,"0%"
"n500_d4_mar_miss00","gamlss2",500,4,"mu",0.74,-0.548914700635549,-0.556021533465442,-0.628483501804688,-0.495576969551173,-0.00658532468469735,0.036961116213082,"mar",0,0,1,"0%"
"n500_d4_mar_miss00","gamlss2",500,4,"mu",0.72,-0.540257987900779,-0.538261138184226,-0.624915534182485,-0.5029086600145,-0.00782796663665003,0.0386046060052489,"mar",0,0,1,"0%"
"n500_d4_mar_miss00","gamlss.longitudinal",500,4,"sigma",0.88,0.20978029119672,0.16045259494162,0.0948514291111169,0.205620223573211,-0.0522977099225,0.0636585255471247,"mar",0,0,1,"0%"
"n500_d4_mar_miss00","gamlss.longitudinal",500,4,"sigma",0.86,0.183796899894904,0.131686955285339,0.0827304192855294,0.173571868926711,-0.0523004457182057,0.0628791439593523,"mar",0,0,1,"0%"
"n500_d4_mar_miss00","gamlss2",500,4,"mu",0.68,-0.497654878856311,-0.493862869661018,-0.577359292308551,-0.450311559719707,-0.0079446388060937,0.0408414463684676,"mar",0,0,1,"0%"
"n500_d4_mar_miss00","gamlss.longitudinal",500,4,"theta",0.33,0.164456840627863,0.150148237913312,0.127838682702107,0.188138733499914,-0.00802613699834984,0.0291268831059696,"mar",0,0,1,"0%"
"n500_d4_mar_miss00","gamlss.longitudinal",500,4,"theta",0.31,0.154482471549843,0.137850369008049,0.113489006380207,0.180748722870267,-0.0102479577963965,0.0295243789937365,"mar",0,0,1,"0%"
"n500_d4_mar_miss00","gamlss.longitudinal",500,4,"theta",0.29,0.142572959966697,0.124995593171193,0.0987491644853391,0.171255324532733,-0.0120232779315441,0.0301700355593683,"mar",0,0,1,"0%"
"n500_d4_mar_miss00","gamlss2",500,4,"mu",0.64,-0.423782283526684,-0.433190682995567,-0.480049931603261,-0.36535274177979,-0.00644585190409597,0.0383462834786812,"mar",0,0,1,"0%"
"n500_d4_mar_miss00","gamlss2",500,4,"mu",0.62,-0.376500908260779,-0.390197163952645,-0.42204577296721,-0.317420876453146,-0.0057374700262951,0.035703082645139,"mar",0,0,1,"0%"
"n500_d4_mar_miss00","gamlss.longitudinal",500,4,"mu",0.44,0.202468503976573,0.200915448458039,0.172106504832187,0.232516324317965,0.00286390780471088,0.0222128860958447,"mar",0,0,1,"0%"
"n500_d4_mar_miss00","gamlss.longitudinal",500,4,"sigma",0.76,0.0176068588290909,-0.0148514660698652,-0.055255739330199,0.0709118173849355,-0.0227939095172171,0.0443517255982348,"mar",0,0,1,"0%"
"n500_d4_mar_miss00","gamlss.longitudinal",500,4,"sigma",0.74,-0.0190674528884969,-0.0404319715635171,-0.0816514977194156,0.0557806497986159,-0.0140073001749765,0.040313395633942,"mar",0,0,1,"0%"
"n500_d4_mar_miss00","gamlss.longitudinal",500,4,"sigma",0.72,-0.0555246914054204,-0.0657081342830097,-0.106772032951756,0.0146389864223615,-0.00505024093685117,0.0373281000627474,"mar",0,0,1,"0%"
"n500_d4_mar_miss00","gamlss2",500,4,"sigma",0.88,0.20978029119672,0.191518305129215,-0.00202095102622115,0.312917110073617,-0.0225685814549948,0.0920511667149014,"mar",0,0,1,"0%"
"n500_d4_mar_miss00","gamlss2",500,4,"sigma",0.86,0.183796899894904,0.16738244059167,-0.00194119472567055,0.264218431581806,-0.0203504055124576,0.0821253271127254,"mar",0,0,1,"0%"
"n500_d4_mar_miss00","gamlss.longitudinal",500,4,"sigma",0.68,-0.125444084499225,-0.115552260502544,-0.152065008111894,-0.0763708284307232,0.0124592877925769,0.0365710777357606,"mar",0,0,1,"0%"
"n500_d4_mar_miss00","gamlss.longitudinal",500,4,"mu",0.34,0.464380359026108,0.45920246059288,0.417414279305244,0.498615658792312,-0.00659029673668302,0.0274488019811289,"mar",0,0,1,"0%"
"n500_d4_mar_miss00","gamlss.longitudinal",500,4,"mu",0.32,0.497654878856311,0.490924004088481,0.446577886858192,0.526332877864767,-0.00914656329589219,0.0274094498970288,"mar",0,0,1,"0%"
"n500_d4_mar_miss00","gamlss.longitudinal",500,4,"mu",0.3,0.523081083962335,0.512400232189547,0.473131461390574,0.547803091240868,-0.0114593718443649,0.0268129764807978,"mar",0,0,1,"0%"
"n500_d4_mar_miss00","gamlss.longitudinal",500,4,"sigma",0.64,-0.18765749395431,-0.170119140154567,-0.192251425149326,-0.104763866308785,0.0281898649986301,0.0426368153386514,"mar",0,0,1,"0%"
"n500_d4_mar_miss00","gamlss.longitudinal",500,4,"sigma",0.62,-0.214600885256126,-0.190850794142615,-0.216192647347153,-0.116064430923616,0.0349971487074885,0.0470841774561186,"mar",0,0,1,"0%"
"n500_d4_mar_miss00","gamlss2",500,4,"mu",0.44,0.202468503976573,0.201438226348381,0.166874079436573,0.235425593270374,0.0045685550646262,0.0281011670400965,"mar",0,0,1,"0%"
"n500_d4_mar_miss00","gamlss2",500,4,"sigma",0.76,0.0176068588290909,-0.0144171480016461,-0.113129640776099,0.159873789936402,-0.0150049328398585,0.0814840407026485,"mar",0,0,1,"0%"
"n500_d4_mar_miss00","gamlss2",500,4,"sigma",0.74,-0.0190674528884969,-0.0435429966868947,-0.127056814315838,0.114518577026582,-0.00953924774922535,0.0782389990167828,"mar",0,0,1,"0%"
"n500_d4_mar_miss00","gamlss2",500,4,"sigma",0.72,-0.0555246914054204,-0.0594234670767333,-0.148895642568308,0.0507963510513503,-0.00252926762159352,0.0768031590059732,"mar",0,0,1,"0%"
"n500_d4_mar_miss00","gamlss.longitudinal",500,4,"theta",0.88,-0.210559570722046,-0.228359584183064,-0.279378215737775,-0.185555706237801,-0.0190909847040599,0.0388967712250456,"mar",0,0,1,"0%"
"n500_d4_mar_miss00","gamlss.longitudinal",500,4,"theta",0.86,-0.183949921668556,-0.200390794409831,-0.245656229604316,-0.151266845924869,-0.0170184197713526,0.0366329701248837,"mar",0,0,1,"0%"
"n500_d4_mar_miss00","gamlss2",500,4,"sigma",0.68,-0.125444084499225,-0.111177303155302,-0.22401928586513,0.00158807526009312,0.012739650022734,0.0869418764601323,"mar",0,0,1,"0%"
"n500_d4_mar_miss00","gamlss2",500,4,"mu",0.34,0.464380359026108,0.463677199891972,0.411957258624569,0.50347875486666,0.000192114013636374,0.031138790124244,"mar",0,0,1,"0%"
"n500_d4_mar_miss00","gamlss.longitudinal",500,4,"theta",0.82,-0.131089955360852,-0.145158692817385,-0.186688325340844,-0.083812560607348,-0.0127826827821729,0.0341433117452729,"mar",0,0,1,"0%"
"n500_d4_mar_miss00","gamlss2",500,4,"sigma",0.64,-0.18765749395431,-0.17318653755505,-0.304703710018226,-0.00547588097379344,0.0244605727116387,0.0980125525949623,"mar",0,0,1,"0%"
"n500_d4_mar_miss00","gamlss.longitudinal",500,4,"sigma",0.48,-0.292144707424046,-0.234522043332804,-0.315506477690747,-0.18631959565887,0.0530800382505246,0.065986548568775,"mar",0,0,1,"0%"
"n500_d4_mar_miss00","gamlss2",500,4,"sigma",0.62,-0.214600885256126,-0.194166989326626,-0.31910144018669,-0.00475564904103924,0.0281204711931291,0.0989682751724337,"mar",0,0,1,"0%"
"n500_d4_mar_miss00","gamlss.longitudinal",500,4,"sigma",0.44,-0.273763242796178,-0.221330688106102,-0.312426058637997,-0.171811091134124,0.0473915030868528,0.0612515578343096,"mar",0,0,1,"0%"
"n500_d4_mar_miss00","gamlss.longitudinal",500,4,"theta",0.76,-0.0545382033307625,-0.0624852736809801,-0.111070483651544,-0.00244678749673971,-0.00549273523787479,0.0340457959257392,"mar",0,0,1,"0%"
"n500_d4_mar_miss00","gamlss2",500,4,"sigma",0.58,-0.258002301042862,-0.242990340063075,-0.330862537326363,-0.00330450850158025,0.032483573104502,0.0974422769876234,"mar",0,0,1,"0%"
"n500_d4_mar_miss00","gamlss.longitudinal",500,4,"sigma",0.4,-0.238175395342187,-0.200193160857769,-0.264864388756892,-0.148000387164576,0.0375038252396986,0.0512301760094402,"mar",0,0,1,"0%"
"n500_d4_mar_miss00","gamlss.longitudinal",500,4,"mu",0.89,-0.350583194361779,-0.346481872614445,-0.380942067358541,-0.308186910198893,0.00513407280297029,0.024134696820801,"mar",0,0,1,"0%"
"n500_d4_mar_miss00","gamlss.longitudinal",500,4,"mu",0.87,-0.400932745081776,-0.392207329148333,-0.432577125060909,-0.362185659902484,0.00952568939512762,0.0236163662631333,"mar",0,0,1,"0%"
"n500_d4_mar_miss00","gamlss.longitudinal",500,4,"theta",0.68,0.0374522230287292,0.0423115233105948,-0.0208428326764545,0.0953520992378988,0.00506407259520437,0.0363396755521006,"mar",0,0,1,"0%"
"n500_d4_mar_miss00","gamlss.longitudinal",500,4,"sigma",0.34,-0.157778335523402,-0.145150116673821,-0.169056016794384,-0.0989051422708149,0.0171787809905507,0.0295363696137144,"mar",0,0,1,"0%"
