"missing_mechanism","target_missing_rate","observed_missing_rate","complete_adjacent_pair_rate","model","parameter","mean_rmse","mean_abs_bias","mean_coverage_95","target_missing_pct"
"mar",0.4,0.398625,0.398133333333333,"gamlss2","tau",0.130966180580749,0.0169502756542117,0.966666666666667,40
"time_mar",0.4,0.396325,0.413766666666667,"gamlss2","tau",0.161364421649424,0.0609556198240083,0.933333333333333,40
"mar",0.5,0.500025,0.283,"gamlss2","tau",0.133638212243098,0.0365286540537295,0.933333333333333,50
"time_mar",0.5,0.502,0.292466666666667,"gamlss2","tau",0.153489817418269,0.0325259108175768,0.916666666666667,50
"mar",0,0,1,"gamlss.longitudinal","tau",0.0683054109040506,0.012060262218992,0.983333333333333,0
"time_mar",0,0,1,"gamlss.longitudinal","tau",0.0683054109040506,0.012060262218992,0.983333333333333,0
"mar",0.1,0.099175,0.817933333333333,"gamlss.longitudinal","tau",0.0840552500815666,0.033894028323584,0.944444444444444,10
"time_mar",0.1,0.10285,0.833633333333333,"gamlss.longitudinal","tau",0.0859550525594242,0.0226203741188438,0.948717948717949,10
"mar",0.2,0.200625,0.655166666666667,"gamlss.longitudinal","tau",0.0959795593535847,0.0154083395759138,1,20
"time_mar",0.2,0.199325,0.683066666666667,"gamlss.longitudinal","tau",0.0869616800240562,0.0301934688816673,0.944444444444444,20
"mar",0.3,0.30165,0.514,"gamlss.longitudinal","tau",0.126610792367586,0.0253686873751692,0.933333333333333,30
"time_mar",0.3,0.299425,0.543333333333333,"gamlss.longitudinal","tau",0.110678739112544,0.0131747008466896,0.933333333333333,30
"mar",0.4,0.398625,0.398133333333333,"gamlss.longitudinal","tau",0.10836071793362,0.012801839584096,0.980392156862745,40
"time_mar",0.4,0.396325,0.413766666666667,"gamlss.longitudinal","tau",0.129420342994397,0.0287328286396939,0.875,40
"mar",0.5,0.500025,0.283,"gamlss.longitudinal","tau",0.120667601689319,0.0375907303795803,0.964912280701754,50
"time_mar",0.5,0.502,0.292466666666667,"gamlss.longitudinal","tau",0.161797947398816,0.043850199630525,0.941176470588235,50
"mar",0,0,1,"gamlss.longitudinal","theta",0.0644970919563519,0.00857831973338472,0.966666666666667,0
"time_mar",0,0,1,"gamlss.longitudinal","theta",0.0644970919563519,0.00857831973338472,0.966666666666667,0
"mar",0.1,0.099175,0.817933333333333,"gamlss.longitudinal","theta",0.0667130042610835,0.0177495724128381,0.944444444444444,10
"time_mar",0.1,0.10285,0.833633333333333,"gamlss.longitudinal","theta",0.0738290152975051,0.00349225717926957,0.948717948717949,10
"mar",0.2,0.200625,0.655166666666667,"gamlss.longitudinal","theta",0.0832000453768167,0.0333044741567379,1,20
"time_mar",0.2,0.199325,0.683066666666667,"gamlss.longitudinal","theta",0.0855649320461609,0.0160293123688079,0.944444444444444,20
"mar",0.3,0.30165,0.514,"gamlss.longitudinal","theta",0.116150601103694,0.0458894717830611,0.866666666666667,30
"time_mar",0.3,0.299425,0.543333333333333,"gamlss.longitudinal","theta",0.0839152625696533,0.0258188225841538,1,30
"mar",0.4,0.398625,0.398133333333333,"gamlss.longitudinal","theta",0.0952430085498362,0.0117216005492654,0.96078431372549,40
"time_mar",0.4,0.396325,0.413766666666667,"gamlss.longitudinal","theta",0.0921738956786955,0.0158049173432952,0.916666666666667,40
"mar",0.5,0.500025,0.283,"gamlss.longitudinal","theta",0.12258273902922,0.0125229213808474,0.964912280701754,50
"time_mar",0.5,0.502,0.292466666666667,"gamlss.longitudinal","theta",0.141224565198973,0.0130171247594644,0.92156862745098,50
"mar",0,0,1,"gamlss.longitudinal","zeta",1.20845254213913,0.179392667079151,0.983333333333333,0
"time_mar",0,0,1,"gamlss.longitudinal","zeta",1.20845254213913,0.179392667079151,0.983333333333333,0
"mar",0.1,0.099175,0.817933333333333,"gamlss.longitudinal","zeta",1.18440025541612,0.172227301848799,1,10
"time_mar",0.1,0.10285,0.833633333333333,"gamlss.longitudinal","zeta",1.53556876419365,0.178795017561834,0.974358974358974,10
"mar",0.2,0.200625,0.655166666666667,"gamlss.longitudinal","zeta",1.81220291594097,0.933904708447709,1,20
"time_mar",0.2,0.199325,0.683066666666667,"gamlss.longitudinal","zeta",2.58629931157049,0.534064099200468,0.833333333333333,20
"mar",0.3,0.30165,0.514,"gamlss.longitudinal","zeta",0.107154005359671,0.107145082682966,1,30
"time_mar",0.3,0.299425,0.543333333333333,"gamlss.longitudinal","zeta",0.96708961909593,0.526838447496638,1,30
"mar",0.4,0.398625,0.398133333333333,"gamlss.longitudinal","zeta",0.10735678604257,0.105805209780485,1,40
"time_mar",0.4,0.396325,0.413766666666667,"gamlss.longitudinal","zeta",0.108680320026878,0.108670133003324,1,40
"mar",0.5,0.500025,0.283,"gamlss.longitudinal","zeta",0.107151744800859,0.107021539542094,1,50
"time_mar",0.5,0.502,0.292466666666667,"gamlss.longitudinal","zeta",0.117563600967348,0.112875146994178,1,50
