"artifact_id","artifact_type","manuscript_path","manuscript_label","producer","profiles","input_bundle","access","publication_status","verification","approved_sha256","generated_path"
"p2_missing_warning_audit","audit","evidence/missingness/warning-audit.csv","phase2:missingness-warning-audit","module_04_missingness","paper|full","missingness","public","active","canonical_sha256","","data/missingness/missingness_warning_audit.csv"
"p2_missing_by_rep","data","evidence/missingness/missingness-by-rep.csv","phase2:missingness-by-rep","module_04_missingness","paper|full","missingness","public","active","canonical_sha256","","data/missingness/missingness_by_rep.csv"
"p2_missing_pattern","data","evidence/missingness/pattern-by-subject-visit.csv","phase2:missingness-pattern","module_04_missingness","paper|full","missingness","public","active","canonical_sha256","","data/missingness/missingness_pattern_by_subject_visit.csv"
"p2_missing_fixed","data","evidence/missingness/fixed-effects-by-rep.csv","phase2:missingness-fixed","module_04_missingness","paper|full","missingness","public","active","canonical_sha256","","data/missingness/fixed_effects_by_rep.csv"
"p2_missing_smooth","data","evidence/missingness/smooth-estimates-by-rep.csv","phase2:missingness-smooth","module_04_missingness","paper|full","missingness","public","active","canonical_sha256","","data/missingness/smooth_estimates_by_rep.csv"
"p2_missing_headline","table","tables/phase2-missingness-headline.csv","phase2:missingness-headline","module_04_missingness","paper|full","missingness","public","active","canonical_sha256","","data/missingness/missingness_headline_summary.csv"
"p2_missing_fixed_summary","table","tables/phase2-missingness-fixed-summary.csv","phase2:missingness-fixed-summary","module_04_missingness","paper|full","missingness","public","active","canonical_sha256","","data/missingness/fixed_term_summary_by_missingness.csv"
"p2_missing_smooth_irmse","table","tables/phase2-missingness-smooth-irmse.csv","phase2:missingness-smooth-irmse","module_04_missingness","paper|full","missingness","public","active","canonical_sha256","","data/missingness/smooth_irmse_summary.csv"
"p2_missing_plot_data","data","evidence/missingness/smooth-plot-data.csv","phase2:missingness-plot-data","module_04_missingness","paper|full","missingness","public","active","canonical_sha256","","data/missingness/smooth_selected_plot_data.csv"
"p2_copula_grid","data","evidence/copula-selection/grid.csv","phase2:copula-grid","module_07_copula_misspecification","paper|full","copula-misspecification","public","active","canonical_sha256","","data/07-gamma-copula-misspecification-grid.csv"
"p2_copula_results","data","evidence/copula-selection/results.csv","phase2:copula-results","module_07_copula_misspecification","paper|full","copula-misspecification","public","active","canonical_sha256","","data/07-gamma-copula-misspecification-results.csv"
"p2_copula_selection_attempts","data","evidence/copula-selection/selection-attempts.csv","phase2:copula-selection-attempts","module_07_copula_misspecification","paper|full","copula-misspecification","public","active","canonical_sha256","","data/07-gamma-copula-misspecification-selection-attempts.csv"
"p2_copula_execution_manifest","audit","evidence/copula-selection/execution-manifest.csv","phase2:copula-execution-manifest","module_07_copula_misspecification","paper|full","copula-misspecification","public","active","canonical_sha256","","data/07-gamma-copula-misspecification-execution-manifest.csv"
"p2_copula_summary","table","tables/phase2-copula-summary.csv","phase2:copula-summary","module_07_copula_misspecification","paper|full","copula-misspecification","public","active","canonical_sha256","","tables/07-gamma-copula-misspecification-summary.csv"
"p2_copula_selection","table","tables/phase2-copula-selection.csv","phase2:copula-selection","module_07_copula_misspecification","paper|full","copula-misspecification","public","active","canonical_sha256","","tables/07-gamma-copula-misspecification-selection.csv"
"p2_copula_confusion","table","tables/phase2-copula-confusion.csv","phase2:copula-confusion","module_07_copula_misspecification","paper|full","copula-misspecification","public","active","canonical_sha256","","tables/07-gamma-copula-misspecification-selection-confusion.csv"
"p2_copula_failures","table","tables/phase2-copula-selection-failures.csv","phase2:copula-failures","module_07_copula_misspecification","paper|full","copula-misspecification","public","active","canonical_sha256","","tables/07-gamma-copula-misspecification-selection-failures.csv"
"p2_copula_paired_effects","table","tables/phase2-copula-paired-effects.csv","phase2:copula-paired-effects","module_07_copula_misspecification","paper|full","copula-misspecification","public","active","canonical_sha256","","tables/07-gamma-copula-misspecification-paired-effects.csv"
